# pairs_indfaints, pairs_indbrights
11806262,11806263
2036268,2036273
1543557,1543549
12011952,12011948
1265381,1265463
13360895,13360890
3699406,3699496
10665646,10665640
5383913,5383887
2156231,2156266
11806941,11806936
6031109,6031079
4601129,4601136
540254,540250
13910808,13910806
6706846,6706876
11459843,11459839
3719865,3719832
13945865,13945824
7824979,7824978
6044089,6044087
1399147,1399145
13808462,13808506
2117465,2117456
6463224,6463219
5791944,5790108
6448988,6448989
5696611,5696486
12560166,12560171
4159573,4159566
4693483,4693525
474801,474775
12454684,12454681
9093976,9093942
4655334,4655323
5413443,5413465
13718639,13718601
6264045,6264044
12480383,12480379
3890179,3890181
4716370,4715312
2926176,2926165
4257576,4257525
2135495,2135489
5685033,5685036
9469227,9469540
13607738,13607447
13419515,13419394
3533825,3533860
4423682,4423711
4108167,4108267
3362210,3362193
10665516,10665528
11831803,11831794
4215030,4215043
13857754,13856332
4107014,4107032
11810519,11810598
13605234,13605225
6813452,6813453
3266702,3266698
8278053,8278055
13940975,13940983
13028959,13028954
8127982,8127980
13168222,13168251
1292988,1292987
6221605,6221617
3427621,3427629
10095966,10096001
11265601,11265602
3527074,3527117
